_LR,batch_acc,effective_seg_weight,epoch,gradient_probe_step,loss,msls-val/R1,msls-val/R5,query_semantic_accuracy,query_semantic_entropy_norm,query_semantic_valid_confidence,query_semantic_valid_frac,seg_loss,seg_shared_grad_norm,seg_vpr_grad_cosine,step,vpr_loss,vpr_shared_grad_norm,weighted_seg_vpr_grad_ratio
,,,0,,,0.912162184715271,0.9513513445854187,,,,,,,,0,,,
9.999999747378752e-05,0.8999999761581421,0.00039999998989515007,0,0.0,0.08063513785600662,,,0.849865734577179,0.11428159475326538,0.8677738904953003,0.8610000610351562,0.45495274662971497,0.014748049899935722,-0.10545910149812698,19,0.08045315742492676,0.0004885430098511279,0.0006037564016878605
9.999999747378752e-05,0.84375,0.0007999999797903001,0,0.0,0.1402938812971115,,,0.8571549654006958,0.08979928493499756,0.8884341716766357,0.9209063053131104,0.43140798807144165,0.014748049899935722,-0.10545910149812698,39,0.1399487555027008,0.0004885430098511279,0.0006037564016878605
9.999999747378752e-05,0.6625000238418579,0.0012000000569969416,0,0.0,0.30656713247299194,,,0.836618185043335,0.10269547253847122,0.8571605682373047,0.8839531540870667,0.43032553791999817,0.014748049899935722,-0.10545910149812698,59,0.30605074763298035,0.0004885430098511279,0.0006037564016878605
9.999999747378752e-05,0.9624999761581421,0.0015999999595806003,0,0.0,0.03189154714345932,,,0.837358832359314,0.10502626746892929,0.8811850547790527,0.9186250567436218,0.45103558897972107,0.014748049899935722,-0.10545910149812698,79,0.031169891357421875,0.0004885430098511279,0.0006037564016878605
9.999999747378752e-05,0.893750011920929,0.0020000000949949026,0,0.0,0.08849731087684631,,,0.860979437828064,0.10111565887928009,0.8860822916030884,0.9227500557899475,0.3753352165222168,0.014748049899935722,-0.10545910149812698,99,0.08774664252996445,0.0004885430098511279,0.0006037564016878605
9.999999747378752e-05,0.862500011920929,0.002400000113993883,0,100.0,0.12096153199672699,,,0.8457373380661011,0.10643339902162552,0.8850790858268738,0.9061250686645508,0.46501049399375916,0.009682121686637402,-0.26401805877685547,119,0.11984550952911377,0.00021337541693355888,0.09165951609611511
9.999999747378752e-05,0.9125000238418579,0.00279999990016222,0,100.0,0.08329988270998001,,,0.8416501879692078,0.10900340229272842,0.8790807127952576,0.8999062776565552,0.439959317445755,0.009682121686637402,-0.26401805877685547,139,0.08206799626350403,0.00021337541693355888,0.09165951609611511
9.999999747378752e-05,0.9437500238418579,0.0031999999191612005,0,100.0,0.04448987916111946,,,0.8349890112876892,0.10110287368297577,0.8699872493743896,0.8839375376701355,0.46808961033821106,0.009682121686637402,-0.26401805877685547,159,0.042991992086172104,0.00021337541693355888,0.09165951609611511
9.999999747378752e-05,0.893750011920929,0.003599999938160181,0,100.0,0.09343647956848145,,,0.8313409686088562,0.10547633469104767,0.8608091473579407,0.8770469427108765,0.45229050517082214,0.009682121686637402,-0.26401805877685547,179,0.09180823713541031,0.00021337541693355888,0.09165951609611511
9.999999747378752e-05,0.918749988079071,0.004000000189989805,0,100.0,0.06830065697431564,,,0.8141722083091736,0.11389338225126266,0.880285382270813,0.9086875319480896,0.5575053691864014,0.009682121686637402,-0.26401805877685547,199,0.06607063859701157,0.00021337541693355888,0.09165951609611511
9.999999747378752e-05,0.8999999761581421,0.004399999976158142,0,200.0,0.09804065525531769,,,0.8539037704467773,0.10281049460172653,0.8802304267883301,0.9013750553131104,0.40496739745140076,0.00867624394595623,0.37744706869125366,219,0.09625879675149918,0.0005528762703761458,0.06308554112911224
9.999999747378752e-05,0.90625,0.004800000227987766,0,200.0,0.07984301447868347,,,0.8703794479370117,0.08206787705421448,0.9036896228790283,0.9261406660079956,0.3590255081653595,0.00867624394595623,0.37744706869125366,239,0.07811969518661499,0.0005528762703761458,0.06308554112911224
9.999999747378752e-05,0.9125000238418579,0.005200000014156103,0,200.0,0.08475476503372192,,,0.8714321851730347,0.08485285192728043,0.8987081050872803,0.9289844036102295,0.34823015332221985,0.00867624394595623,0.37744706869125366,259,0.08294396847486496,0.0005528762703761458,0.06308554112911224
9.999999747378752e-05,0.9125000238418579,0.00559999980032444,0,200.0,0.08017993718385696,,,0.8805044293403625,0.08262699097394943,0.9033063054084778,0.936750054359436,0.3521088659763336,0.00867624394595623,0.37744706869125366,279,0.07820812612771988,0.0005528762703761458,0.06308554112911224
9.999999747378752e-05,0.887499988079071,0.006000000052154064,0,200.0,0.09855683892965317,,,0.8073234558105469,0.12086018919944763,0.8861931562423706,0.8879843950271606,0.5334424376487732,0.00867624394595623,0.37744706869125366,299,0.09535618126392365,0.0005528762703761458,0.06308554112911224
9.999999747378752e-05,0.8999999761581421,0.006399999838322401,0,300.0,0.09276354312896729,,,0.8426010012626648,0.10212448239326477,0.8841177821159363,0.8958125710487366,0.4074293076992035,0.014174707233905792,-0.5617144107818604,319,0.09015599638223648,0.0002925984445028007,0.29163429141044617
